"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"*\persit_windows.go*",".{0,1000}\\persit_windows\.go.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","17217"
"*\ToRat\cmd\*",".{0,1000}\\ToRat\\cmd\\.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","19397"
"*\ToRat\keygen\*",".{0,1000}\\ToRat\\keygen\\.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","19398"
"*\ToRat\torat_client\*",".{0,1000}\\ToRat\\torat_client\\.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","19399"
"*\ToRat\torat_server\*",".{0,1000}\\ToRat\\torat_server\\.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","19400"
"*\ToRat-master.zip*",".{0,1000}\\ToRat\-master\.zip.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","19401"
"*\tor-static-windows-amd64.zip*",".{0,1000}\\tor\-static\-windows\-amd64\.zip.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","19406"
"*docker build . -t torat*",".{0,1000}docker\sbuild\s\.\s\-t\storat.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","41312"
"*docker run -it torat*",".{0,1000}docker\srun\s\-it\storat.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","41337"
"*localhost:8000/*/hardware*",".{0,1000}localhost\:8000\/.{0,1000}\/hardware.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","1","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","51220"
"*localhost:8000/*/netscan*",".{0,1000}localhost\:8000\/.{0,1000}\/netscan.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","1","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","51221"
"*localhost:8000/*/osinfo*",".{0,1000}localhost\:8000\/.{0,1000}\/osinfo.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","1","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","51222"
"*localhost:8000/*/speedtest*",".{0,1000}localhost\:8000\/.{0,1000}\/speedtest.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","1","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","51223"
"*lu4p/ToRat*",".{0,1000}lu4p\/ToRat.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","1","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","51460"
"*server/ToRat_server*",".{0,1000}server\/ToRat_server.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","58448"
"*torEd25519*",".{0,1000}torEd25519.{0,1000}","offensive_tool_keyword","ToRat","ToRat is a Remote Administation tool written in Go using Tor as a transport mechanism and RPC for communication","T1219 - T1021 - T1105","TA0008 - TA0011 - TA0005","N/A","N/A","C2","https://github.com/lu4p/ToRat","1","0","N/A","N/A","10","10","995","199","2023-03-13T08:56:55Z","2019-01-19T11:44:01Z","61507"
