"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*c89b4490de04897b1c16e5dae1c10ef10e60c56294bd4ca45d1669f5dcb6f9e3*",".{0,1000}c89b4490de04897b1c16e5dae1c10ef10e60c56294bd4ca45d1669f5dcb6f9e3.{0,1000}","greyware_tool_keyword","sshtunnel","SSH tunnels to remote server","T1572 - T1219","TA0005 - TA0010 - TA0011","N/A","N/A","Defense Evasion","https://github.com/pahaz/sshtunnel","1","0","N/A","10","10","1189","179","2024-03-10T15:20:42Z","2014-06-11T21:14:05Z"
"*Creating SSHTunnelForwarder*paramiko*",".{0,1000}Creating\sSSHTunnelForwarder.{0,1000}paramiko.{0,1000}","greyware_tool_keyword","sshtunnel","SSH tunnels to remote server","T1572 - T1219","TA0005 - TA0010 - TA0011","N/A","N/A","Defense Evasion","https://github.com/pahaz/sshtunnel","1","0","N/A","10","10","1189","179","2024-03-10T15:20:42Z","2014-06-11T21:14:05Z"
"*easy_install sshtunnel*",".{0,1000}easy_install\ssshtunnel.{0,1000}","greyware_tool_keyword","sshtunnel","SSH tunnels to remote server","T1572 - T1219","TA0005 - TA0010 - TA0011","N/A","N/A","Defense Evasion","https://github.com/pahaz/sshtunnel","1","0","N/A","10","10","1189","179","2024-03-10T15:20:42Z","2014-06-11T21:14:05Z"
"*from sshtunnel import *",".{0,1000}from\ssshtunnel\simport\s.{0,1000}","greyware_tool_keyword","sshtunnel","SSH tunnels to remote server","T1572 - T1219","TA0005 - TA0010 - TA0011","N/A","N/A","Defense Evasion","https://github.com/pahaz/sshtunnel","1","0","N/A","10","10","1189","179","2024-03-10T15:20:42Z","2014-06-11T21:14:05Z"
"*from sshtunnel import SSHTunnelForwarder*",".{0,1000}from\ssshtunnel\simport\sSSHTunnelForwarder.{0,1000}","greyware_tool_keyword","sshtunnel","SSH tunnels to remote server","T1572 - T1219","TA0005 - TA0010 - TA0011","N/A","N/A","Defense Evasion","https://github.com/pahaz/sshtunnel","1","0","N/A","10","10","1189","179","2024-03-10T15:20:42Z","2014-06-11T21:14:05Z"
"*import sshtunnel*",".{0,1000}import\ssshtunnel.{0,1000}","greyware_tool_keyword","sshtunnel","SSH tunnels to remote server","T1572 - T1219","TA0005 - TA0010 - TA0011","N/A","N/A","Defense Evasion","https://github.com/pahaz/sshtunnel","1","0","N/A","10","10","1189","179","2024-03-10T15:20:42Z","2014-06-11T21:14:05Z"
"*pahaz/sshtunnel*",".{0,1000}pahaz\/sshtunnel.{0,1000}","greyware_tool_keyword","sshtunnel","SSH tunnels to remote server","T1572 - T1219","TA0005 - TA0010 - TA0011","N/A","N/A","Defense Evasion","https://github.com/pahaz/sshtunnel","1","1","N/A","10","10","1189","179","2024-03-10T15:20:42Z","2014-06-11T21:14:05Z"
"*pip install sshtunnel*",".{0,1000}pip\sinstall\ssshtunnel.{0,1000}","greyware_tool_keyword","sshtunnel","SSH tunnels to remote server","T1572 - T1219","TA0005 - TA0010 - TA0011","N/A","N/A","Defense Evasion","https://github.com/pahaz/sshtunnel","1","0","N/A","10","10","1189","179","2024-03-10T15:20:42Z","2014-06-11T21:14:05Z"
"*sshtunnel.readthedocs.io*",".{0,1000}sshtunnel\.readthedocs\.io.{0,1000}","greyware_tool_keyword","sshtunnel","SSH tunnels to remote server","T1572 - T1219","TA0005 - TA0010 - TA0011","N/A","N/A","Defense Evasion","https://github.com/pahaz/sshtunnel","1","1","N/A","10","10","1189","179","2024-03-10T15:20:42Z","2014-06-11T21:14:05Z"
"*sshtunnel.readthedocs.org*",".{0,1000}sshtunnel\.readthedocs\.org.{0,1000}","greyware_tool_keyword","sshtunnel","SSH tunnels to remote server","T1572 - T1219","TA0005 - TA0010 - TA0011","N/A","N/A","Defense Evasion","https://github.com/pahaz/sshtunnel","1","1","N/A","10","10","1189","179","2024-03-10T15:20:42Z","2014-06-11T21:14:05Z"
